employee code,   year, month,  day,  hour, mint, machine no, status ,          01 for in and 02 for out,,,,,,,,,,
94,2022,6,1,7,10,1,1,,,,Monday,8,7,1,1,11,12,1
94,2022,6,2,8,11,1,1,,,,Monday,8,8,0,2,12,12,0
94,2022,6,3,8,10,1,1,,,,Monday,8,8,0,3,12,12,0
94,2022,6,4,8,10,1,1,,,,Monday,8,8,0,4,12,12,0
94,2022,6,5,7,10,1,1,,,,Tuesday,8,7,1,5,11,12,1
94,2022,6,6,8,10,1,1,,,,Tuesday,8,8,0,6,12,12,0
94,2022,6,7,8,10,1,1,,,,Wednesday,8,8,0,7,12,12,0
94,2022,6,8,8,10,1,1,,,,Wednesday,8,8,0,8,12,12,0
94,2022,6,9,8,10,1,1,,,,Thursday,8,8,0,9,12,12,0
94,2022,6,10,8,10,1,1,,,,Thursday,8,8,0,10,12,12,0
94,2022,6,11,8,10,1,1,,,,Friday,8,8,0,11,11,12,1
94,2022,6,12,8,10,1,1,,,,Friday,8,8,0,12,12,12,0
94,2022,6,13,8,10,1,1,,,,Friday,8,8,0,13,12,12,0
94,2022,6,14,7,10,1,1,,,,Friday,8,7,1,14,10,12,2
94,2022,6,1,20,10,1,2,,,,,,,3,,,,5
94,2022,6,2,20,11,1,2,,,,,,,,,,,
94,2022,6,3,20,10,1,2,,,,,,,,,,,
94,2022,6,4,20,10,1,2,,,,,,,,,,,
94,2022,6,5,20,10,1,2,,,,,,,,,,,
94,2022,6,6,20,10,1,2,,,,,,,,,,,
94,2022,6,7,20,10,1,2,,,,,,,,,,,
94,2022,6,8,20,10,1,2,,,,,,,,,,,
94,2022,6,9,20,10,1,2,,,,,,,,,,,
94,2022,6,10,20,10,1,2,,,,,,,,,,,
94,2022,6,11,20,10,1,2,,,,,,,,,,,
94,2022,6,12,20,10,1,2,,,,,,,,,,,
94,2022,6,13,20,10,1,2,,,,,,,,,,,
94,2022,6,14,20,10,1,2,,,,,,,,,,,
