employee code,   year, month,  day,  hour, mint, machine no, status 
1,2022,6,1,15,42,1,1
1,2022,6,2,18,11,1,1
1,2022,6,3,12,42,1,1
1,2022,6,4,12,49,1,1
1,2022,6,5,12,55,1,1
1,2022,6,6,13,10,1,1
1,2022,6,7,13,25,1,3
1,2022,6,8,13,34,1,1
1,2022,6,9,13,48,1,1
1,2022,6,10,13,55,1,1
1,2022,6,11,13,59,1,1
1,2022,6,12,14,3,1,1
1,2022,6,13,14,15,1,1
1,2022,6,14,14,17,1,1
1,2022,6,1,14,48,1,2
1,2022,6,2,14,53,1,2
1,2022,6,3,14,59,1,2
1,2022,6,4,14,59,1,2
1,2022,6,5,15,7,1,2
1,2022,6,6,15,7,1,2
1,2022,6,7,15,9,1,2
1,2022,6,8,15,12,1,2
1,2022,6,9,15,15,1,2
1,2022,6,10,15,18,1,2
1,2022,6,11,15,18,1,2
1,2022,6,12,15,21,1,2
1,2022,6,13,15,24,1,2
1,2022,6,14,15,30,1,2
