employee code,   year, month,  day,  hour, mint,Machine, status 
62,2021,6,1,2,6,1,2
67,2021,6,1,7,49,1,1
82,2021,6,1,7,50,1,2
4,2021,6,1,7,54,1,1
44,2021,6,1,7,55,1,1
66,2021,6,1,7,56,1,2
22,2021,6,1,7,56,1,1
68,2021,6,1,7,58,1,1
46,2021,6,1,8,0,1,2
7,2021,6,1,8,3,1,2
11,2021,6,1,8,5,1,2
80,2021,6,1,8,5,1,2
58,2021,6,1,8,6,1,2
78,2021,6,1,8,7,1,2
47,2021,6,1,8,8,1,1
85,2021,6,1,8,8,1,1
75,2021,6,1,8,8,1,2
49,2021,6,1,8,10,1,2
59,2021,6,1,8,11,1,2
41,2021,6,1,8,13,1,2
63,2021,6,1,8,14,1,1
60,2021,6,1,8,14,1,2
28,2021,6,1,8,17,1,1
84,2021,6,1,8,23,1,1
48,2021,6,1,8,37,1,2
65,2021,6,1,8,45,1,1
6,2021,6,1,8,54,1,1
19,2021,6,1,8,58,1,1
43,2021,6,1,9,2,1,1
27,2021,6,1,9,6,1,2
81,2021,6,1,9,6,1,2
64,2021,6,1,9,8,1,1
21,2021,6,1,9,21,1,2
89,2021,6,1,9,32,1,1
24,2021,6,1,9,36,1,1
15,2021,6,1,9,39,1,1
69,2021,6,1,10,0,1,2
16,2021,6,1,10,8,1,1
29,2021,6,1,10,9,1,1
20,2021,6,1,10,11,1,1
38,2021,6,1,10,28,1,1
12,2021,6,1,10,42,1,1
56,2021,6,1,11,0,1,1
2,2021,6,1,11,2,1,1
26,2021,6,1,11,15,1,1
45,2021,6,1,13,36,1,1
77,2021,6,1,13,48,1,1
60,2021,6,1,13,52,1,1
21,2021,6,1,13,52,1,1
44,2021,6,1,13,57,1,1
83,2021,6,1,13,57,1,1
79,2021,6,1,13,58,1,1
3,2021,6,1,14,0,1,1
4,2021,6,1,14,2,1,2
69,2021,6,1,14,2,1,2
86,2021,6,1,14,4,1,1
54,2021,6,1,14,6,1,1
42,2021,6,1,14,6,1,1
71,2021,6,1,14,7,1,1
9,2021,6,1,14,9,1,1
67,2021,6,1,14,10,1,2
88,2021,6,1,14,11,1,1
6,2021,6,1,14,13,1,2
5,2021,6,1,14,17,1,2
47,2021,6,1,14,24,1,2
58,2021,6,1,14,31,1,2
18,2021,6,1,14,38,1,1
72,2021,6,1,14,49,1,1
34,2021,6,1,14,49,1,1
37,2021,6,1,15,7,1,2
33,2021,6,1,15,7,1,2
31,2021,6,1,15,7,1,1
57,2021,6,1,15,19,1,1
23,2021,6,1,15,24,1,1
16,2021,6,1,15,24,1,2
22,2021,6,1,15,26,1,2
19,2021,6,1,15,32,1,2
17,2021,6,1,15,36,1,2
25,2021,6,1,15,57,1,2
24,2021,6,1,15,59,1,2
39,2021,6,1,16,4,1,1
38,2021,6,1,16,12,1,2
56,2021,6,1,17,0,1,2
89,2021,6,1,17,54,1,2
12,2021,6,1,18,1,1,2
2,2021,6,1,19,8,1,2
48,2021,6,1,19,46,1,1
83,2021,6,1,19,51,1,2
84,2021,6,1,19,51,1,1
66,2021,6,1,19,51,1,1
8,2021,6,1,19,52,1,1
65,2021,6,1,19,52,1,2
83,2021,6,1,19,52,1,1
41,2021,6,1,19,53,1,1
3,2021,6,1,19,55,1,2
62,2021,6,1,19,58,1,1
26,2021,6,1,19,58,1,2
68,2021,6,1,19,58,1,2
46,2021,6,1,19,59,1,1
73,2021,6,1,19,59,1,1
28,2021,6,1,19,59,1,2
79,2021,6,1,20,0,1,2
71,2021,6,1,20,1,1,2
77,2021,6,1,20,2,1,2
88,2021,6,1,20,3,1,2
86,2021,6,1,20,4,1,2
49,2021,6,1,20,4,1,2
75,2021,6,1,20,7,1,1
54,2021,6,1,20,8,1,2
80,2021,6,1,20,10,1,1
42,2021,6,1,20,12,1,1
59,2021,6,1,20,12,1,2
57,2021,6,1,20,14,1,2
39,2021,6,1,20,15,1,1
10,2021,6,1,20,18,1,1
45,2021,6,1,20,19,1,2
43,2021,6,1,20,20,1,2
18,2021,6,1,20,21,1,2
70,2021,6,1,20,22,1,1
9,2021,6,1,20,24,1,2
31,2021,6,1,20,24,1,2
78,2021,6,1,20,34,1,2
64,2021,6,1,20,45,1,2
81,2021,6,1,20,45,1,2
37,2021,6,1,20,50,1,1
21,2021,6,1,20,51,1,1
34,2021,6,1,20,52,1,2
33,2021,6,1,20,52,1,2
72,2021,6,1,20,55,1,2
29,2021,6,1,21,0,1,2
17,2021,6,1,21,10,1,2
20,2021,6,1,21,44,1,2
15,2021,6,1,21,56,1,2
23,2021,6,1,21,56,1,2
25,2021,6,1,22,1,1,2
27,2021,6,1,23,47,1,2
83,2021,6,2,7,53,1,2
83,2021,6,2,7,54,1,1
22,2021,6,2,7,54,1,1
44,2021,6,2,7,56,1,1
4,2021,6,2,7,57,1,2
8,2021,6,2,7,58,1,2
67,2021,6,2,8,0,1,1
10,2021,6,2,8,0,1,2
68,2021,6,2,8,0,1,1
5,2021,6,2,8,1,1,1
49,2021,6,2,8,2,1,2
75,2021,6,2,8,2,1,2
